max,min,wind,rain,humidi,cloud,pressure,date,temp
34,24,12,0.0,65,29,1011,2010-02-02,33.981539030917354
34,23,6,0.0,65,34,1011,2011-02-02,35.0903061543301
34,25,7,3.9,69,28,1011,2012-02-02,34.26754921336124
35,24,6,0.0,56,23,1012,2013-02-02,33.730306154330094
33,22,8,0.0,68,14,1010,2014-02-02,29.902943725152287
33,22,8,0.0,51,11,1014,2015-02-02,29.042943725152284
35,26,10,0.0,56,20,1011,2016-02-02,33.682633403898976
33,25,4,11.9,74,58,1012,2017-02-02,39.075
33,25,7,0.0,59,43,1013,2018-02-02,37.19254921336125
35,26,9,0.0,55,37,1012,2019-02-02,37.18
36,23,9,0.0,53,4,1013,2020-02-02,29.56
34,25,8,0.0,60,8,1012,2021-02-02,30.582943725152287
33,23,6,0.0,65,32,1011,2009-02-03,34.190306154330095
33,26,9,0.0,62,40,1012,2010-02-03,36.919999999999995
34,23,5,0.0,65,27,1012,2011-02-03,33.83835921350013
33,26,6,0.0,71,11,1012,2012-02-03,31.630306154330096
36,25,12,0.0,56,23,1010,2013-02-03,34.08153903091735
37,21,7,0.0,67,7,1008,2014-02-03,30.052549213361242
33,22,11,0.0,56,25,1015,2015-02-03,31.67002512578676
35,26,9,0.0,54,39,1011,2016-02-03,37.54
32,25,6,3.3,77,39,1011,2017-02-03,35.8353061543301
34,24,8,0.0,57,13,1013,2018-02-03,31.042943725152288
33,25,10,0.0,61,44,1013,2019-02-03,37.12263340389897
35,23,10,0.0,55,4,1013,2020-02-03,29.002633403898976
34,23,9,0.0,60,7,1012,2021-02-03,29.279999999999998
34,22,7,0.0,65,26,1011,2009-02-05,32.872549213361246
37,25,10,0.0,57,13,1012,2010-02-05,32.82263340389897
34,22,6,0.0,67,15,1011,2011-02-05,30.830306154330096
35,25,8,0.8,66,22,1011,2012-02-05,33.86294372515229
36,25,10,0.0,62,30,1012,2013-02-05,35.82263340389897
33,22,12,0.3,73,24,1008,2014-02-05,31.536539030917346
34,22,8,0.0,54,7,1014,2015-02-05,28.802943725152282
35,26,10,0.0,57,30,1010,2016-02-05,35.682633403898976
32,24,8,8.8,76,32,1010,2017-02-05,32.84294372515228
33,24,7,0.0,52,6,1015,2018-02-05,29.192549213361243
34,24,12,0.0,65,36,1013,2019-02-05,35.42153903091735
35,23,11,0.0,53,7,1012,2020-02-05,29.45002512578676
34,24,8,0.0,59,20,1011,2021-02-05,32.44294372515228
35,22,5,0.0,62,8,1011,2009-01-30,29.958359213500128
34,25,9,0.0,57,32,1012,2010-01-30,35.22
34,22,6,0.0,62,17,1012,2011-01-30,31.150306154330092
33,24,9,4.0,73,48,1010,2012-01-30,37.1
35,24,9,0.0,61,43,1013,2013-01-30,37.519999999999996
32,21,7,0.0,66,9,1013,2014-01-30,28.032549213361246
35,23,10,0.0,62,1,1013,2015-01-30,28.54263340389897
34,25,15,0.0,63,29,1012,2016-01-30,34.216209992275544
